source_category,nsi_id,display_name,tags_brand,brand_wikidata,location_include,location_exclude,match_names_count,match_input_name,match_slug,match_status,matched_image_svg,matched_image_png
convenience,1011-ead397,10-11,10-11,Q65336720,is,,0,10-11,10-11,no,,
convenience,108shop-f572b3,108 Shop,108 Shop,Q4546767,th,,0,108 Shop,108-shop,no,,
convenience,1ststop-f1e40b,1st Stop,1st Stop,Q65706152,us,,1,1st Stop,1st-stop,no,,
supermarket,365discount-072052,365discount,365discount,Q104671354,dk,,2,365discount,365discount,no,,
supermarket,3hreesixty-745f9c,3hreeSixty,3hreeSixty,Q7797310,hk,,1,3hreeSixty,3hreesixty,no,,
convenience,4all-edef5f,4all,4all,Q130279387,gr,,0,4all,4all,no,,
convenience,7eleven-2da37b,7-Eleven (Norge),7-Eleven,Q259340,no,,2,7-Eleven,7-eleven,exact,7-eleven.svg,
convenience,7eleven-652b3e,セブン-イレブン,7-ELEVEN,Q259340,jp,,2,7-ELEVEN,7-eleven,exact,7-eleven.svg,
convenience,7eleven-e1b4e3,7-Eleven,7-Eleven,Q259340,001,jp|kr|no,5,7-Eleven,7-eleven,exact,7-eleven.svg,
convenience,724mix-9d5235,7/24 Mix,7/24 Mix,Q113264389,mx,,0,7/24 Mix,7-24-mix,no,,
convenience,759store-298a73,759阿信屋 759 Store,759阿信屋 759 Store,Q10846179,hk,,0,759阿信屋 759 Store,759-759-store,no,,
convenience,76-f1e40b,76,76,Q1658320,us,,0,76,76,no,,
convenience,8ahuit-bf3eb4,8 à Huit,8 à Huit,Q2818601,fr,,0,8 à Huit,8-a-huit,no,,
supermarket,8ahuit-c16b1c,8 à Huit,8 à Huit,Q2818601,fr,,0,8 à Huit,8-a-huit,no,,
supermarket,99ranchmarket-dde59d,99 Ranch Market,99 Ranch Market,Q4646307,us,,2,99 Ranch Market,99-ranch-market,exact,,99-ranch-market.png
supermarket,99speedmart-bfc07b,99 Speedmart,99 Speedmart,Q62075061,my|sg,,0,99 Speedmart,99-speedmart,no,,
supermarket,aando-0cb133,A&O,A&O,Q3600279,it,,0,A&O,a-o,no,,
supermarket,a101-5b5772,A101,A101,Q6034496,tr,,0,A101,a101,exact,a101.svg,a101.png
convenience,a101-62eaab,A101,A101,,tr,,0,A101,a101,exact,a101.svg,a101.png
convenience,abarroteslupita-9d5235,Abarrotes Lupita,Abarrotes Lupita,,mx,,0,Abarrotes Lupita,abarrotes-lupita,no,,
convenience,abarrotesmonterrey-9d5235,Abarrotes Monterrey,Abarrotes Monterrey,Q113182569,mx,,0,Abarrotes Monterrey,abarrotes-monterrey,no,,
convenience,abc-540f13,ABC (Hawaii),ABC,Q4650251,us-hi,,1,ABC,abc,no,,
convenience,abc-95f41b,abc (Polska),abc,Q11683985,pl,,0,abc,abc,no,,
supermarket,abclavpris-072052,ABC Lavpris,ABC Lavpris,Q12300077,dk,,0,ABC Lavpris,abc-lavpris,no,,
supermarket,acme-dde59d,Acme,Acme,Q341975,us,,0,Acme,acme,no,,
supermarket,addelhaize-f276cb,AD Delhaize,AD Delhaize,Q1184173,be|lu,,0,AD Delhaize,ad-delhaize,exact,ad-delhaize.svg,ad-delhaize.png
supermarket,adeg-1eef1d,ADEG,ADEG,Q290211,at,,0,ADEG,adeg,no,,
convenience,admiral-d554ea,Admiral,Admiral,,us-mi.geojson,,0,Admiral,admiral,no,,
supermarket,aeon-745f9c,永旺 AEON,AEON,Q271413,hk,,1,AEON,aeon,exact,aeon.svg,
supermarket,aeonbig-80e9ee,AEON BiG,AEON BiG,Q8077280,my,,0,AEON BiG,aeon-big,exact,,aeon-big.png
supermarket,aeonsupercenter-fe0970,イオンスーパーセンター,AEON SUPERCENTER,Q11285970,jp,,0,AEON SUPERCENTER,aeon-supercenter,exact,aeon-supercenter.svg,
supermarket,ahorramas-0513f1,Ahorramás,Ahorramás,Q58221883,es,,0,Ahorramás,ahorramas,exact,,ahorramas.png
convenience,aibe-401681,Aibe,Aibe,Q126120243,lv,,0,Aibe,aibe,exact,,aibe.png
convenience,aibe-64a6c9,Aibė,Aibė,Q1022952,lt,,0,Aibė,aibe,exact,,aibe.png
convenience,alprimeenergy-e1865d,AL Prime Energy,AL Prime Energy,Q135268157,us-fl.geojson|us-ma.geojson|us-nh.geojson,,1,AL Prime Energy,al-prime-energy,no,,
supermarket,albert-8e6809,Albert,Albert,Q9144241,cz,,0,Albert,albert,exact,,albert.png
supermarket,albertheijn-1cf55d,Albert Heijn,Albert Heijn,Q1653985,be|nl,,0,Albert Heijn,albert-heijn,exact,albert-heijn.svg,
