brand_name,price_count
Carrefour Market,10114
Intermarché,10967
Super U,8263
Decò,165
Auchan,16894
None,36421
E.Leclerc,7453
Denner,27
Hofer,344
Safeway,11067
Naturalia,1356
Rema 1000,2261
Lidl,3632
U Express,1413
ALDI Nord,629
Monoprix,4509
REWE,511
Carrefour,6423
E. Leclerc,5074
EDEKA,1580
Circle K,405
Rossmann,267
WinCo Foods,56
Plodine,99
Carrefour City,7049
Biocoop,2314
Centre Commercial E.Leclerc,31967
Sherpa,118
Franprix,4626
dm,228
bi1,56
Yorma’s,19
Bio C' Bon,1393
Real Canadian Superstore,99
Tesco,20
Extra,4572
ALDI,316
Centre Commercial E. Leclerc,2696
Eurospar,34
Migros,368
Spar,932
CAP,162
Monop',285
Save-On-Foods,60
Netto,1432
Morrisons,130
Selex,1
T&T Supermarket,6
Bonpreu,156
Penny,117
Relay,142
Albert Heijn,65
Intermarché Express,224
Carrefour Express,574
Nahkauf,93
7-Eleven,105
Whole Foods Market,4017
Casino,734
BP,1
My Auchan,37
Mercadona,122
Sainsbury's Local,51
Walmart,666
Auchan Supermarché,1206
China Express,12
Coop Prix,470
Le Petit Casino,256
Kaufland,790
L'Eau Vive,532
La Vie Claire,882
Action,206
EuroSpin,15
Utile,576
IKEA,48
Costco,850
Aldi,407
Continente,16
Bunnpris,1281
G20,1077
Supeco,165
Picard,349
Gigaboks,459
Coles,9
BM,8
Alvo,244
PLUS,16
Tommy,8
Carrefour Contact,209
Casino Shop,202
Lupa,23
Biedronka,219
PENNY,14
Billa Plus,26
Intermarché Super,1832
In's Mercato,37
Fresh,85
Decathlon,73
City Gross,168
АТБ-Маркет,1
Mega Image,9
Grand Frais,30
Coop,169
ALDI Süd,135
Match,275
NOZ,55
Target,180
Netto Marken-Discount,949
E. Leclerc Drive,598
Delhaize,1122
Willys,1170
Casino Supermarché,4
Intermarché Contact,859
Prix,1
Mangeons Frais,9
Alnatura,15
Castorama,19
The Range,1
NORMA,36
Kiwi,3211
Billa,174
HEMA,24
Costa,1
Sonnentor,2
M&S Simply Food,8
Fnac,132
Disco,3
