brand_name,match_status,matched_image_svg,matched_image_png,price_count,top_100_by_price
365discount,no,,,2,
7-Eleven,exact,7-eleven.svg,,105,
7-ELEVEN,exact,7-eleven.svg,,1,
99 Ranch Market,exact,,99-ranch-market.png,338,yes
A101,exact,a101.svg,a101.png,2,
A2Pas,no,,,52,
Action,exact,action.svg,action.png,206,yes
AD Delhaize,exact,ad-delhaize.svg,ad-delhaize.png,3,
AEON BiG,exact,,aeon-big.png,10,
Agrola,exact,agrola.svg,agrola.png,1,
Ahorramás,exact,,ahorramas.png,17,
Albert,exact,,albert.png,16,
Albert Heijn,exact,albert-heijn.svg,,65,
Albert Heijn XL,exact,,albert-heijn-xl.png,19,
Alcampo,exact,,alcampo.png,66,
ALDI,exact,aldi.svg,,316,yes
Aldi,exact,aldi.svg,,407,yes
ALDI Nord,exact,aldi-nord.svg,,629,yes
Aldi Nord,exact,aldi-nord.svg,,9,
ALDI Süd,exact,aldi-sud.svg,aldi-sud.png,135,
Aldi Süd,exact,aldi-sud.svg,aldi-sud.png,103,
Alepa,exact,,alepa.png,5,
Alfamart,exact,alfamart.svg,alfamart.png,10,
Alimerka,exact,alimerka.svg,,2,
Alnatura,exact,alnatura.svg,alnatura.png,15,
Alvo,exact,,alvo.png,244,yes
Alza,exact,alza.svg,alza.png,1,
Amazon,exact,amazon.svg,amazon.png,4,
Amazon Fresh,exact,amazon-fresh.svg,amazon-fresh.png,1,
Amazon Locker,exact,,amazon-locker.png,1,
Amazonロッカー,no,,,9,
Amul,exact,,amul.png,1,
Animalis,exact,,animalis.png,1,
Apollo Pharmacy,exact,,apollo-pharmacy.png,1,
Apotek 1,no,,,5,
Apoteket,exact,,apoteket.png,25,
Ara,exact,,ara.png,1,
Asda,exact,asda.svg,,32,
Asda Express,exact,,asda-express.png,4,
Assaí Atacadista,exact,,assai-atacadista.png,4,
Au vieux campeur,exact,,au-vieux-campeur.png,4,
Auchan,exact,auchan.svg,,16894,yes
Auchan Supermarché,exact,,auchan-supermarche.png,1206,yes
Autogrill,exact,,autogrill.png,43,
avec,exact,,avec.png,1,
Aveve,exact,,aveve.png,1,
B&M,exact,,b-m.png,7,
B&M Bargains,exact,,b-m-bargains.png,12,
Bahadourian,exact,bahadourian.svg,,240,yes
Beets & Roots,exact,,beets-roots.png,5,
Best-one,exact,,best-one.png,2,
bi1,exact,,bi1.png,56,
Biedronka,exact,,biedronka.png,219,yes
Big C,exact,,big-c.png,8,
Big Market,exact,,big-market.png,2,
Big Y,exact,,big-y.png,2,
Bilka,exact,bilka.svg,,5,
Billa,exact,billa.svg,,174,yes
Billa Plus,exact,billa-plus.svg,,26,
Bim,exact,bim.svg,,1,
Bio C' Bon,exact,bio-c-bon.svg,,1393,yes
Bio-Planet,exact,,bio-planet.png,21,
Biocoop,exact,biocoop.svg,,2314,yes
Bipa,exact,bipa.svg,,1,
BİM,exact,bim.svg,,5,
BJ's Wholesale Club,exact,bjs-wholesale-club.svg,,3,
BM,exact,,bm.png,8,
Bodega Aurrera,exact,,bodega-aurrera.png,1,
Bonpreu,exact,bonpreu.svg,,156,yes
BonÀrea,exact,,bonarea.png,9,
Boots,exact,,boots.png,7,
Botanic,exact,,botanic.png,426,yes
Boulanger,exact,boulanger.svg,,1,
BP,exact,,bp.png,1,
Bricomarché,exact,,bricomarche.png,1,
Bricorama,exact,,bricorama.png,5,
Budni,exact,,budni.png,1,
Budnikowsky,exact,,budnikowsky.png,3,
Bunnpris,exact,bunnpris.svg,,1281,yes
Bureau Vallée,exact,,bureau-vallee.png,15,
But,exact,,but.png,11,
Cactus,exact,cactus.svg,,1,
CAP,exact,,cap.png,162,yes
Caprabo,exact,caprabo.svg,,1,
Carrefour,exact,carrefour.svg,,6423,yes
Carrefour City,exact,,carrefour-city.png,7049,yes
Carrefour Contact,exact,,carrefour-contact.png,209,yes
Carrefour Express,exact,,carrefour-express.png,574,yes
Carrefour Market,exact,,carrefour-market.png,10114,yes
Carulla,exact,,carulla.png,1,
Casino,exact,,casino.png,734,yes
Casino Shop,exact,casino-shop.svg,casino-shop.png,202,yes
Casino Supermarché,exact,casino-supermarche.svg,,4,
Castorama,exact,castorama.svg,,19,
Centre Commercial E. Leclerc,exact,centre-commercial-e-leclerc.svg,,2696,yes
Centre commercial E. Leclerc,exact,centre-commercial-e-leclerc.svg,,36,
Centre Commercial E.Leclerc,exact,centre-commercial-e-leclerc.svg,,31967,yes
Centre commercial E.Leclerc,exact,centre-commercial-e-leclerc.svg,,1,
Chemist Warehouse,exact,,chemist-warehouse.png,1,
Chicken Republic,exact,,chicken-republic.png,1,
China Express,no,,,12,
Chronodrive,no,,,1,
Circle K,exact,,circle-k.png,405,yes
City Gross,exact,,city-gross.png,168,yes
City Market,exact,,city-market.png,2,
Co-op,exact,,co-op.png,1,
Co-op Food,exact,,co-op-food.png,23,
CocciMarket,no,,,127,
Coles,exact,coles.svg,coles.png,9,
Coles Local,exact,,coles-local.png,10,
Colruyt,exact,colruyt.svg,,123,
Combi,exact,combi.svg,combi.png,1,
Conad,exact,,conad.png,157,yes
Conad City,no,,,2,
Conad Superstore,no,,,1,
Condis,exact,,condis.png,3,
Consum,exact,,consum.png,21,
Continente,exact,continente.svg,,16,
Continente Bom Dia,exact,,continente-bom-dia.png,6,
Continente Modelo,exact,,continente-modelo.png,7,
Continente Plug&Charge,no,,,2,
Coop,exact,coop.svg,,169,yes
Coop (Sweden),exact,,coop-sweden.png,10,
Coop 365discount,no,,,1,
Coop City,no,,,7,
Coop Eesti,exact,,coop-eesti.png,2,
Coop Prix,exact,,coop-prix.png,470,yes
Coop Pronto,exact,,coop-pronto.png,1,
Cora,exact,cora.svg,,166,yes
Costa,exact,,costa.png,1,
Costco,exact,costco.svg,,850,yes
Coto,exact,,coto.png,2,
Covirán,exact,,coviran.png,10,
Crai,exact,crai.svg,,1,
Cumberland Farms,exact,,cumberland-farms.png,1,
CVS Pharmacy,exact,,cvs-pharmacy.png,3,
Côté Nature,exact,,cote-nature.png,5,
Cœur de frais,no,,,22,
Damart,exact,,damart.png,5,
Darty,exact,darty.svg,,27,
Dealz,exact,,dealz.png,8,
Decathlon,exact,decathlon.svg,,73,
Decò,exact,,deco.png,165,yes
DekaMarkt,exact,dekamarkt.svg,,2,
Delhaize,exact,,delhaize.png,1122,yes
Delhaize Proxy,no,,,2,
denn's Biomarkt,exact,denns-biomarkt.svg,,14,
Denner,exact,,denner.png,27,
Denns BioMarkt,exact,denns-biomarkt.svg,,12,
Depot,exact,,depot.png,2,
Di,no,,,4,
Dia,exact,dia.svg,,28,
Dia Market,exact,,dia-market.png,1,
Diagonal,no,,,44,
Dillons,exact,,dillons.png,2,
Dino,exact,,dino.png,10,
Dirk,exact,dirk.svg,,1,
Disco,exact,,disco.png,3,
Ditt Apotek,exact,,ditt-apotek.png,1,
dm,exact,dm.svg,,228,yes
DMart,exact,,dmart.png,30,
Dogman,exact,,dogman.png,3,
Dollar General,exact,dollar-general.svg,,1,
Dollar Tree,exact,,dollar-tree.png,5,
Dollarama,exact,,,11,
Dollarstore,exact,,dollarstore.png,12,
Donkey Republic,exact,,donkey-republic.png,1,
Dpiù,exact,,dpiu.png,1,
Dr. Max,no,,,2,
Dunnes Stores,exact,dunnes-stores.svg,,3,
E-Center,exact,,e-center.png,8,
E. Leclerc,exact,e-leclerc.svg,,5074,yes
E. Leclerc Drive,exact,,e-leclerc-drive.png,598,yes
E. Leclerc Express,exact,e-leclerc-express.svg,,1,
E.Leclerc,exact,e-leclerc.svg,,7453,yes
E.Leclerc Drive,exact,,e-leclerc-drive.png,814,yes
E.Leclerc Express,exact,e-leclerc-express.svg,,155,yes
Eataly,exact,,eataly.png,10,
EDEKA,exact,edeka.svg,,1580,yes
Edeka,exact,edeka.svg,,300,yes
Ekoplaza,exact,ekoplaza.svg,,5,
Ekosport,exact,,ekosport.png,7,
Elgiganten,exact,elgiganten.svg,,1,
Elkjøp,exact,,elkjop.png,3,
Elvi,exact,,elvi.png,1,
Eroski,exact,eroski.svg,,9,
Esselunga,exact,,esselunga.png,73,
Europris,exact,,europris.png,193,yes
Eurospar,exact,eurospar.svg,,34,
EuroSpin,exact,,eurospin.png,15,
Express Market,no,,,3,
Extra,exact,extra.svg,,4572,yes
famila,exact,famila.svg,,3,
FamilyMart,exact,,familymart.png,4,
Farm Boy,exact,,farm-boy.png,1,
Farmacias del Ahorro,exact,,farmacias-del-ahorro.png,1,
Farmatodo,exact,,farmatodo.png,1,
Feneberg,exact,,feneberg.png,32,
Fnac,exact,fnac.svg,,132,
Food Basics,exact,,food-basics.png,1,
Food Lion,exact,,food-lion.png,12,
Foodland,exact,,foodland.png,10,
FoodMaxx,exact,foodmaxx.svg,,110,
Fortinos,exact,,fortinos.png,1,
Franprix,exact,franprix.svg,,4626,yes
